noticeWeek,totalAffected,noticeCount,startOfWeek,noticeYear
1,19,1,2020-01-03,2020
2,361,6,2020-01-06,2020
3,592,10,2020-01-13,2020
4,3409,26,2020-01-21,2020
5,141,7,2020-01-29,2020
6,1052,14,2020-02-04,2020
7,896,11,2020-02-11,2020
8,334,6,2020-02-19,2020
9,1047,11,2020-02-24,2020
10,180,8,2020-03-02,2020
11,2266,26,2020-03-09,2020
12,29077,306,2020-03-16,2020
13,35716,347,2020-03-23,2020
14,24990,248,2020-03-30,2020
15,15458,150,2020-04-06,2020
16,7126,128,2020-04-13,2020
17,6294,50,2020-04-20,2020
18,9053,49,2020-04-27,2020
19,5438,27,2020-05-04,2020
20,3588,28,2020-05-11,2020
21,3227,29,2020-05-18,2020
22,3438,28,2020-05-26,2020
23,6721,42,2020-06-01,2020
24,10125,54,2020-06-08,2020
25,5929,51,2020-06-15,2020
26,2580,40,2020-06-22,2020
27,6545,36,2020-06-29,2020
28,4058,21,2020-07-06,2020
29,9863,36,2020-07-13,2020
30,950,16,2020-07-20,2020
31,6178,30,2020-07-27,2020
32,2101,20,2020-08-03,2020
33,2124,38,2020-08-10,2020
34,1984,15,2020-08-17,2020
35,1264,14,2020-08-24,2020
36,4125,27,2020-08-31,2020
37,1886,15,2020-09-08,2020
38,1330,21,2020-09-14,2020
39,1020,15,2020-09-21,2020
40,2149,38,2020-09-28,2020
41,785,9,2020-10-06,2020
42,902,9,2020-10-12,2020
43,506,5,2020-10-20,2020
44,1063,11,2020-10-28,2020
45,638,10,2020-11-02,2020
46,482,6,2020-11-09,2020
47,900,4,2020-11-17,2020
48,236,3,2020-11-23,2020
49,461,6,2020-11-30,2020
50,420,11,2020-12-07,2020
51,271,7,2020-12-14,2020
52,48,1,2020-12-22,2020
1,172,1,2019-01-06,2019
2,490,7,2019-01-07,2019
3,1372,9,2019-01-15,2019
5,725,7,2019-01-28,2019
6,446,5,2019-02-05,2019
7,204,7,2019-02-12,2019
8,319,6,2019-02-18,2019
9,465,8,2019-02-26,2019
10,338,5,2019-03-04,2019
11,416,5,2019-03-13,2019
12,54,1,2019-03-21,2019
13,895,8,2019-03-25,2019
14,371,7,2019-04-01,2019
15,1364,7,2019-04-08,2019
16,606,10,2019-04-15,2019
17,11,2,2019-04-23,2019
18,1007,6,2019-04-29,2019
19,1,1,2019-05-06,2019
20,60,2,2019-05-13,2019
21,389,5,2019-05-20,2019
22,112,3,2019-05-28,2019
23,484,6,2019-06-03,2019
24,614,6,2019-06-11,2019
25,237,5,2019-06-17,2019
26,459,10,2019-06-24,2019
27,195,2,2019-07-01,2019
28,396,4,2019-07-08,2019
29,165,4,2019-07-16,2019
31,561,10,2019-07-29,2019
32,132,2,2019-08-06,2019
33,278,4,2019-08-15,2019
34,366,5,2019-08-19,2019
35,241,6,2019-08-29,2019
36,238,4,2019-09-03,2019
37,349,7,2019-09-09,2019
38,439,6,2019-09-17,2019
39,572,8,2019-09-23,2019
40,1937,17,2019-09-30,2019
41,583,8,2019-10-07,2019
42,1217,7,2019-10-15,2019
43,210,5,2019-10-22,2019
44,715,11,2019-10-28,2019
45,253,5,2019-11-05,2019
46,144,3,2019-11-12,2019
47,1075,4,2019-11-22,2019
48,593,5,2019-11-25,2019
49,633,9,2019-12-02,2019
50,326,7,2019-12-09,2019
51,18,2,2019-12-17,2019
52,45,1,2019-12-24,2019
